ARXIV,arXiv:2103.02708,https://arxiv.org/abs/2103.02708,,,,,,,,,,,,,,,,,,,
SOURCE,hepdata: Table 3,https://doi.org/10.17182/hepdata.101186.v2/t3,,,,,,,,,,,,,,,,,,,
DESCRIPTION,The invariant mass spectra of dielectron events.,,,,,,,,,,,,,,,,,,,,
EXPERIMENT,CMS,,,,,,,,,,,,,,,,,,,,
PROCESS,"p p > \!\(\*SuperscriptBox[e, \(-\)]\) \!\(\*SuperscriptBox[e, \(+\)]\)",,,,,,,,,,,,,,,,,,,,
FINALSTATE,"{e[1],e[1]}",,,,,,,,,,,,,,,,,,,,
OBSERVABLE,"\!\(\*SubscriptBox[m, ee]\)",,,,,,,,,,,,,,,,,,,,
LUMINOSITY,137,,,,,,,,,,,,,,,,,,,,
CM_ENERGY,13000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BINS_MLL,200,300,400,500,600,700,800,900,1000,1200,1400,1600,1800,2000,2250,2500,2750,3000,3500,4000,10000
BINS_PT,0,Infinity,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
mll [GeV] LOW,mll [GeV] HIGH,NUM EVENTS,stat +-,NUM BKG EVENTS,sys. error BKG,tot. (sys+stat) error ,,,,,,,,,,,,,,,
200,220,51164,226.1946065,51384,2751.2,2760.482827,,,,,,,,,,,,,,,
220,240,36436,190.8821626,36944,1431.14,1443.813596,,,,,,,,,,,,,,,
240,260,26302,162.1789135,26488,1083.64,1095.708743,,,,,,,,,,,,,,,
260,280,19516,139.6996779,19618.8,825.08,836.8231632,,,,,,,,,,,,,,,
280,300,14567,120.6938275,14662.8,573.2,585.7689306,,,,,,,,,,,,,,,
300,320,11186,105.763888,11160.6,503.56,514.5470567,,,,,,,,,,,,,,,
320,340,8636,92.93008124,8716.2,378.2,389.4499198,,,,,,,,,,,,,,,
340,360,6792,82.41359111,6782,277.66,289.6326563,,,,,,,,,,,,,,,
360,380,5293,72.75300681,5385.6,261.12,271.065775,,,,,,,,,,,,,,,
380,400,4123,64.21059103,4250.2,183.152,194.0815682,,,,,,,,,,,,,,,
400,420,3360,57.96550698,3399.8,176.508,185.7823298,,,,,,,,,,,,,,,
420,440,2759,52.52618395,2743.8,116.698,127.9743068,,,,,,,,,,,,,,,
440,460,2228,47.20169488,2204,102.814,113.1314218,,,,,,,,,,,,,,,
460,480,1748,41.80908992,1833.9,76.174,86.89348811,,,,,,,,,,,,,,,
480,500,1528,39.08964057,1598.3,64.512,75.43075065,,,,,,,,,,,,,,,
500,520,1234,35.12833614,1268.16,71.322,79.50363315,,,,,,,,,,,,,,,
520,540,1059,32.54228019,1067.72,47.248,57.37049332,,,,,,,,,,,,,,,
540,560,864,29.39387691,893.48,40.428,49.98422935,,,,,,,,,,,,,,,
560,580,751,27.40437921,741.54,36.858,45.92942591,,,,,,,,,,,,,,,
580,600,661,25.70992026,640.8,31.808,40.89925261,,,,,,,,,,,,,,,
600,630,793,28.16025568,779.76,51.795,58.95525443,,,,,,,,,,,,,,,
630,660,639,25.27844932,629.76,29.1948,38.61782421,,,,,,,,,,,,,,,
660,690,515,22.69361144,513.69,26.3487,34.77432949,,,,,,,,,,,,,,,
690,720,433,20.80865205,412.77,23.1792,31.14924257,,,,,,,,,,,,,,,
720,750,374,19.33907961,330.15,18.7224,26.91706265,,,,,,,,,,,,,,,
750,780,311,17.63519209,266.91,16.3419,24.04283044,,,,,,,,,,,,,,,
780,810,204,14.28285686,243.474,15.4812,21.06341742,,,,,,,,,,,,,,,
810,840,207,14.38749457,186.687,16.7277,22.06390598,,,,,,,,,,,,,,,
840,870,156,12.489996,159.942,8.4702,15.09119903,,,,,,,,,,,,,,,
870,900,124,11.13552873,134.403,7.5906,13.47654289,,,,,,,,,,,,,,,
900,950,177,13.3041347,180.095,13.5435,18.98489906,,,,,,,,,,,,,,,
950,1000,156,12.489996,136.905,8.2165,14.95028001,,,,,,,,,,,,,,,
1000,1050,86,9.273618495,105.805,6.4415,11.29127638,,,,,,,,,,,,,,,
1050,1100,78,8.831760866,79.795,6.011,10.68326359,,,,,,,,,,,,,,,
1100,1150,78,8.831760866,64.215,4.5796,9.948504217,,,,,,,,,,,,,,,
1150,1200,49,7,52.115,3.70115,7.918239155,,,,,,,,,,,,,,,
1200,1250,41,6.403124237,41.3115,3.2656,7.187777359,,,,,,,,,,,,,,,
1250,1310,43,6.557438524,39.357,3.82956,7.593782311,,,,,,,,,,,,,,,
1310,1370,32,5.656854249,30.5148,2.62758,6.237321273,,,,,,,,,,,,,,,
1370,1430,21,4.582575695,23.7774,2.13912,5.057255617,,,,,,,,,,,,,,,
1430,1490,25,5,19.1136,1.6299,5.258951798,,,,,,,,,,,,,,,
1490,1550,15,3.872983346,15.0264,1.45494,4.137251552,,,,,,,,,,,,,,,
1550,1610,15,3.872983346,12.0132,1.13382,4.035535626,,,,,,,,,,,,,,,
1610,1680,8,2.828427125,11.3232,1.10502,3.036621346,,,,,,,,,,,,,,,
1680,1750,11,3.31662479,8.4959,0.84287,3.422050531,,,,,,,,,,,,,,,
1750,1820,6,2.449489743,6.85475,0.694645,2.546081632,,,,,,,,,,,,,,,
1820,1890,8,2.828427125,5.25553,0.542717,2.880024608,,,,,,,,,,,,,,,
1890,1970,8,2.828427125,4.71256,0.518816,2.875616463,,,,,,,,,,,,,,,
1970,2050,7,2.645751311,3.57888,0.38784,2.674026901,,,,,,,,,,,,,,,
2050,2130,3,1.732050808,2.86,0.318312,1.761057219,,,,,,,,,,,,,,,
2130,2210,2,1.414213562,2.23568,0.254416,1.436915969,,,,,,,,,,,,,,,
2210,2290,6,2.449489743,1.77056,0.208248,2.458326103,,,,,,,,,,,,,,,
2290,2370,0,0,1.31168,0.154128,0.154128,,,,,,,,,,,,,,,
2370,2450,1,1,1.0652,0.130368,1.008462104,,,,,,,,,,,,,,,
2450,2530,0,0,0.894,0.11268,0.11268,,,,,,,,,,,,,,,
2530,2610,2,1.414213562,0.689432,0.087152,1.416896422,,,,,,,,,,,,,,,
2610,2690,1,1,0.526992,0.0668904,1.002234666,,,,,,,,,,,,,,,
2690,2770,0,0,0.516584,0.0712488,0.0712488,,,,,,,,,,,,,,,
2770,2850,2,1.414213562,0.344016,0.0454984,1.414945266,,,,,,,,,,,,,,,
2850,2930,0,0,0.276056,0.0371568,0.0371568,,,,,,,,,,,,,,,
2930,3010,0,0,0.221552,0.0305104,0.0305104,,,,,,,,,,,,,,,
3010,3090,0,0,0.18664,0.0263608,0.0263608,,,,,,,,,,,,,,,
3090,3170,0,0,0.19452,0.0277448,0.0277448,,,,,,,,,,,,,,,
3170,3250,0,0,0.155152,0.0309944,0.0309944,,,,,,,,,,,,,,,
3250,3330,0,0,0.098616,0.0145672,0.0145672,,,,,,,,,,,,,,,
3330,3410,1,1,0.080664,0.0120928,1.000073115,,,,,,,,,,,,,,,
3410,3490,1,1,0.0748736,0.0113808,1.000064759,,,,,,,,,,,,,,,
3490,3570,0,0,0.0519632,0.0079828,0.0079828,,,,,,,,,,,,,,,
3570,3650,0,0,0.042788,0.00665488,0.00665488,,,,,,,,,,,,,,,
3650,3730,0,0,0.0349904,0.00552408,0.00552408,,,,,,,,,,,,,,,
3730,3810,0,0,0.0288752,0.00462848,0.00462848,,,,,,,,,,,,,,,
3810,3890,0,0,0.0238064,0.00387456,0.00387456,,,,,,,,,,,,,,,
3890,3970,0,0,0.019584,0.0032352,0.0032352,,,,,,,,,,,,,,,
3970,4070,0,0,0.019701,0.0033072,0.0033072,,,,,,,,,,,,,,,
4070,4170,0,0,0.015746,0.0026916,0.0026916,,,,,,,,,,,,,,,
4170,4270,0,0,0.012133,0.0021115,0.0021115,,,,,,,,,,,,,,,
4270,4370,0,0,0.0092675,0.0016417,0.0016417,,,,,,,,,,,,,,,
4370,4470,0,0,0.0075327,0.0013579,0.0013579,,,,,,,,,,,,,,,
4470,4570,0,0,0.0058344,0.0010673,0.0010673,,,,,,,,,,,,,,,
4570,4670,0,0,0.0046144,0.00085709,0.00085709,,,,,,,,,,,,,,,
4670,4770,0,0,0.0036909,0.00069662,0.00069662,,,,,,,,,,,,,,,
4770,4870,0,0,0.0028794,0.00055219,0.00055219,,,,,,,,,,,,,,,
4870,4970,0,0,0.0023162,0.00045385,0.00045385,,,,,,,,,,,,,,,
4970,5070,0,0,0.001757,0.00034764,0.00034764,,,,,,,,,,,,,,,
5070,5170,0,0,0.001386,0.00027851,0.00027851,,,,,,,,,,,,,,,
5170,5270,0,0,0.0010585,0.00021596,0.00021596,,,,,,,,,,,,,,,
5270,5370,0,0,0.00082822,0.00017155,0.00017155,,,,,,,,,,,,,,,
5370,5470,0,0,0.00063504,0.00013351,0.00013351,,,,,,,,,,,,,,,
5470,5570,0,0,0.00048666,0.00010387,0.00010387,,,,,,,,,,,,,,,
5570,5670,0,0,0.00037951,0.000082213,0.000082213,,,,,,,,,,,,,,,
5670,5770,0,0,0.00029466,0.000064793,0.000064793,,,,,,,,,,,,,,,
5770,5870,0,0,0.00022477,0.000050143,0.000050143,,,,,,,,,,,,,,,
5870,5970,0,0,0.00017531,0.000039637,0.000039637,,,,,,,,,,,,,,,
5970,6070,0,0,0.00013806,0.000031578,0.000031578,,,,,,,,,,,,,,,